Price,Close,High,Low,Open,Volume
Ticker,JSMR.JK,JSMR.JK,JSMR.JK,JSMR.JK,JSMR.JK
Date,,,,,
2025-03-11,3619.13134765625,3657.632744971742,3609.505998327377,3638.382046313996,1393500
2025-03-12,3763.51171875,3792.3877677429664,3609.5061241208437,3619.1314737851662,3101700
2025-03-13,3725.01025390625,3792.3877003593348,3657.6328074531652,3763.511651879441,1957100
2025-03-14,3725.01025390625,3782.7623508660367,3638.3821084665697,3715.384904412952,2740200
2025-03-17,3763.51171875,3821.2638167359332,3696.134271099744,3744.2610194213553,3310300
2025-03-18,3667.25830078125,3792.38784910187,3599.8808516855315,3782.7624992310534,4686900
2025-03-19,3696.13427734375,3773.1370747884116,3638.382179260254,3705.7596270243325,7689900
2025-03-20,3744.260986328125,3888.6412300168704,3715.384937590376,3715.384937590376,7584400
2025-03-21,3513.252685546875,3792.387830425942,3513.252685546875,3773.1371307791096,8561900
2025-03-24,3705.759521484375,3725.0102202972807,3503.6271839488636,3503.6271839488636,3730500
2025-03-25,3753.886474609375,3821.263924153646,3676.8836751302083,3705.759724934896,6574900
2025-03-26,3927.142578125,4042.646771599265,3763.5116373697915,3792.387685738358,7744600
2025-03-27,3830.88916015625,3927.142656642588,3830.88916015625,3879.015908399419,5417200
2025-04-08,3571.004638671875,3676.883482406082,3349.6216017730794,3455.5004455072863,4071600
2025-04-09,3705.759521484375,3725.0102202972807,3551.753930981128,3571.004629794034,3360700
2025-04-10,3657.6328125,3840.514453125,3657.6328125,3734.6356085526318,7348600
2025-04-11,3792.3876953125,3859.76514167592,3609.506055183217,3638.3821036246827,3328300
2025-04-14,4061.8974609375,4090.7735092380035,3811.638375666469,3811.638375666469,3608900
2025-04-15,4071.52294921875,4235.15389516844,4013.770850648271,4071.52294921875,6696700
2025-04-16,3898.2666015625,4119.649643132716,3898.2666015625,4061.8975453317903,1444700
2025-04-17,4129.27490234375,4148.525601189175,3917.5172150440703,3917.5172150440703,2726100
2025-04-21,4187.02685546875,4206.277553654813,4110.024062724497,4129.27476091056,2752900
2025-04-22,4215.9033203125,4264.030070544378,4177.4019201269975,4187.027270173373,2876700
2025-04-23,4138.900390625,4254.404587572674,4081.148292151163,4244.779237827035,2987700
2025-04-24,4177.40185546875,4254.404654647898,4138.900455879177,4138.900455879177,2367100
2025-04-25,4283.28076171875,4456.537062192767,4196.652611481742,4215.90331153441,6232900
2025-04-28,4312.15673828125,4408.410236903599,4283.2806886945455,4341.0327878679545,1742700
2025-04-29,4187.02685546875,4341.032440957256,4167.776157282687,4341.032440957256,2668900
2025-04-30,4119.6494140625,4225.528254143545,4119.6494140625,4196.652206848715,3743100
2025-05-02,4090.773681640625,4148.525780675552,4042.6469324448526,4052.272282284007,3598700
2025-05-05,4119.6494140625,4158.150810455608,4090.77336676767,4110.024064964224,2043100
2025-05-06,4042.646728515625,4148.52557140532,4023.3960298084075,4138.900222051711,5632900
2025-05-07,4033.021484375,4100.398931607995,4013.7707851655728,4052.272183584427,3817400
2025-05-08,3888.641357421875,4158.151154470916,3879.0160075272665,4081.148355314047,10103900
2025-05-09,3898.2666015625,3936.7680000964506,3840.514503761574,3898.2666015625,5877000
2025-05-14,3946.393310546875,4023.396106850229,3936.767961008956,3946.393310546875,10996400
2025-05-15,3917.517333984375,3984.89478198902,3907.8919842694254,3946.393383129223,7089500
2025-05-16,3927.142578125,3956.018626493566,3907.8918792126224,3927.142578125,8190100
2025-05-19,4013.770751953125,4023.3961014781926,3936.7679557525853,3946.393305277653,15828400
2025-05-20,4000.0,4090.0,4000.0,4050.0,13998400
2025-05-21,4040.0,4060.0,4000.0,4000.0,5538100
2025-05-22,4030.0,4070.0,3990.0,4040.0,6819900
2025-05-23,4000.0,4050.0,4000.0,4020.0,3959000
2025-05-26,3820.0,4020.0,3820.0,4010.0,13692300
2025-05-27,3800.0,3830.0,3770.0,3800.0,9153100
2025-05-28,3810.0,3850.0,3800.0,3810.0,9967300
2025-06-02,3830.0,3840.0,3790.0,3830.0,5149800
2025-06-03,3790.0,3850.0,3750.0,3840.0,4122200
2025-06-04,3770.0,3830.0,3760.0,3830.0,3678300
2025-06-05,3740.0,3810.0,3720.0,3770.0,5685000
2025-06-10,3820.0,3870.0,3760.0,3760.0,12843900
2025-06-11,3860.0,3890.0,3830.0,3840.0,8490200
2025-06-12,3830.0,3890.0,3820.0,3880.0,3293900
2025-06-13,3820.0,3850.0,3780.0,3830.0,3127300
2025-06-16,3800.0,3830.0,3790.0,3820.0,2699400
2025-06-17,3850.0,3880.0,3820.0,3820.0,5144500
2025-06-18,3790.0,3870.0,3780.0,3860.0,9943200
2025-06-19,3730.0,3790.0,3710.0,3790.0,6359400
2025-06-20,3720.0,3740.0,3670.0,3730.0,25764200
2025-06-23,3570.0,3670.0,3560.0,3670.0,4223100
2025-06-24,3680.0,3730.0,3610.0,3610.0,4098700
2025-06-25,3600.0,3720.0,3590.0,3720.0,4756300
2025-06-26,3580.0,3610.0,3560.0,3610.0,3233900
2025-06-30,3650.0,3670.0,3590.0,3590.0,3302500
2025-07-01,3590.0,3670.0,3590.0,3620.0,2001200
2025-07-02,3550.0,3630.0,3550.0,3620.0,3167600
2025-07-03,3570.0,3630.0,3550.0,3550.0,2066000
2025-07-04,3570.0,3600.0,3570.0,3580.0,1008300
2025-07-07,3590.0,3590.0,3560.0,3570.0,1560200
2025-07-08,3600.0,3620.0,3570.0,3590.0,1957700
2025-07-09,3670.0,3680.0,3600.0,3610.0,5025000
